"date","Bamako","Gao","Kayes","Kidal","Koulikoro","Mopti","Segou","Sikasso","Tombouctou","Total"
2012-09-01,12390,11290,1740,2050,3335,39830,16890,9310,21960,118795
2012-10-01,47292,25977,1843,28645,3386,39830,19285,10536,21764,317353
2012-11-01,46448,25977,2760,34763,3357,41239,19285,8250,21764,322638
2012-12-01,51733,25977,2220,28645,15870,40056,29966,12687,21764,347713
2013-01-01,51733,25977,2220,28645,15870,40056,29966,12687,21764,347713
2013-02-01,62414,25977,2739,28645,19597,40056,46599,12874,21764,379460
2013-03-01,75751,25977,2930,28645,28065,40056,46467,12893,21764,401343
2013-04-01,77501,25977,5008,28645,27983,54084,46817,13004,21764,419578
2013-05-01,77501,25977,5252,28645,27983,54084,46817,13004,21764,419822
2013-06-01,77501,57079,2252,26220,27983,54084,46817,7258,54261,472250
2013-07-01,79145,57079,2252,31225,28241,34818,46809,7258,55206,460828
2013-08-01,72795,57079,2111,36800,26832,29722,46764,7258,54261,452417
2013-09-01,72795,57079,2111,36800,26832,29722,24442,7258,54261,430095
2013-10-01,67250,47562,2111,36800,23500,29722,24442,7257,45082,402521
2013-11-01,62485,47562,2008,34092,23265,9862,24442,6024,45082,373617
2013-12-01,46143,47562,1805,34092,19101,8051,12139,4959,43959,336606
2014-01-01,46143,47562,1805,34092,19101,8051,12139,4959,43959,336606
2014-02-01,46143,29326,1805,34092,19101,8051,12139,4959,43959,318370
2014-03-01,44751,27168,1645,34092,18794,7550,10932,4128,37824,305679
2014-04-01,40733,16729,1263,11245,17727,6948,10440,2732,29279,255891
2014-05-01,39768,16421,1183,11245,16717,6616,10332,1977,28377,251431
2014-06-01,39627,10376,1102,28650,16249,5384,8392,1371,17715,247661
2014-07-01,39625,10809,838,28650,16042,5380,8387,1236,15282,245044
